EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
160308,WILMETTE HARBOR TO NORTHERLY ISLAND IL (ZONE),HARRISON-DEVER CRIB,03/24/2009,2250,Marine Thunderstorm Wind,45.00, ,0,0,0,0,XX,CST-6,MG,27323,Z,741,LOT,0,0,C-MAN Station, , , ,0,N,0,N,HARRISON-DEVER CRIB,03/24/2009,2250,41.9,-87.6,41.9,-87.6,"","Strong to severe thunderstorms moved across southern Lake Michigan during the late evening of March 24th and the early morning of March 25th.",1
160311,BURNS HARBOR TO MICHIGAN CITY IN (ZONE),BURNS HARBOR,03/24/2009,2250,Marine Thunderstorm Wind,51.00, ,0,0,0,0,XX,CST-6,MG,27323,Z,745,LOT,0,0,C-MAN Station, , , ,4,W,4,W,BURNS HARBOR,03/24/2009,2250,41.65,-87.15,41.65,-87.15,"","Strong to severe thunderstorms moved across southern Lake Michigan during the late evening of March 24th and the early morning of March 25th.",2
160310,NORTHERLY ISLAND TO CALUMET HARBOR IL (ZONE),CALUMET HARBOR,03/24/2009,2318,Marine Thunderstorm Wind,36.00, ,0,0,0,0,XX,CST-6,MG,27323,Z,742,LOT,0,0,C-MAN Station, , , ,0,N,0,N,CALUMET HARBOR,03/24/2009,2318,41.73,-87.54,41.73,-87.54,"","Strong to severe thunderstorms moved across southern Lake Michigan during the late evening of March 24th and the early morning of March 25th.",3
159344,LM SHEBOYGAN WI TO WINTHROP HARBOR IL EWD BYD 5NM TO MID LINE OF LAKE (ZONE),SHEBOYGAN,03/24/2009,2342,Marine Thunderstorm Wind,55.00, ,0,0,0,0,XX,CST-6,MG,27164,Z,665,MKX,0,0,C-MAN Station, , , ,1,NNE,1,NNE,SHEBOYGAN,03/24/2009,2342,43.7661,-87.7108,43.7661,-87.7108,"A powerful thunderstorm wind gust affected the Sheboygan port area.  No damage was reported.","A line of intense rain showers with isolated thunderstorms moved out over Lake Michigan and quickly fell apart.  However, one powerful wind gust was observed in the Sheboygan port area.",4
171148,MICHIGAN CITY IN TO NEW BUFFALO MI (ZONE),MICHIGAN CITY,05/07/2009,1815,Marine Thunderstorm Wind,39.00, ,0,0,0,0,XX,EST-5,MG,29175,Z,46,IWX,0,0,C-MAN Station, , , ,1,NW,1,NW,MICHIGAN CITY,05/07/2009,1816,41.729,-86.9118,41.729,-86.9118,"The Great Lakes Environmental Research Laboratory (GLERL) station at Michigan City recorded a 39 knot wind gust.","A weak front stalled out over the area during the afternoon and evening. A weak disturbance moved through, allowing showers and storms to develop. A small area of convection developed over Lake Michigan and produced locally gusty winds.",5
167678,NORTH PT LT TO WIND PT WI (ZONE),NORTH POINT LTHOUSE,05/13/2009,2110,Marine Thunderstorm Wind,39.00, ,0,0,0,0,XX,CST-6,MG,28492,Z,645,MKX,0,0,C-MAN Station, , , ,3,SE,3,SE,NORTH POINT LTHOUSE,05/13/2009,2110,43.046,-87.879,43.046,-87.879,"","A strong cold front moved across the nearshore waters of Lake Michigan, producing a line of thunderstorms.  Some of these thunderstorms produced severe wind gusts over the nearshore waters.",6
166226,WILMETTE HARBOR TO NORTHERLY ISLAND IL (ZONE),HARRISON-DEVER CRIB,05/13/2009,2115,Marine Thunderstorm Wind,53.00, ,0,0,0,0,XX,CST-6,MG,28260,Z,741,LOT,0,0,C-MAN Station, , , ,0,N,0,N,HARRISON-DEVER CRIB,05/13/2009,2120,41.9,-87.6,41.9,-87.6,"","Strong to severe thunderstorms moved across southern Lake Michigan during the evening hours of May 13th into the early morning hours of May 14th.",7
167680,NORTH PT LT TO WIND PT WI (ZONE),NORTH POINT LTHOUSE,05/13/2009,2115,Marine Thunderstorm Wind,40.00, ,0,0,0,0,XX,CST-6,MG,28492,Z,645,MKX,0,0,C-MAN Station, , , ,3,SE,3,SE,NORTH POINT LTHOUSE,05/13/2009,2115,43.046,-87.879,43.046,-87.879,"","A strong cold front moved across the nearshore waters of Lake Michigan, producing a line of thunderstorms.  Some of these thunderstorms produced severe wind gusts over the nearshore waters.",8
167682,WIND PT LT WI TO WINTHROP HBR IL (ZONE),KENOSHA,05/13/2009,2120,Marine Thunderstorm Wind,41.00, ,0,0,0,0,XX,CST-6,MG,28492,Z,646,MKX,0,0,C-MAN Station, , , ,1,ENE,1,ENE,KENOSHA,05/13/2009,2120,42.589,-87.809,42.589,-87.809,"","A strong cold front moved across the nearshore waters of Lake Michigan, producing a line of thunderstorms.  Some of these thunderstorms produced severe wind gusts over the nearshore waters.",9
166227,BURNS HARBOR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,05/13/2009,2250,Marine Thunderstorm Wind,55.00, ,0,0,0,0,XX,CST-6,MG,28260,Z,745,LOT,0,0,C-MAN Station, , , ,0,N,0,N,MICHIGAN CITY,05/13/2009,2300,41.72,-86.9,41.72,-86.9,"","Strong to severe thunderstorms moved across southern Lake Michigan during the evening hours of May 13th into the early morning hours of May 14th.",10
