EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
742026,WILMETTE HARBOR TO NORTHERLY ISLAND IL (ZONE),HARRISON-DEVER CRIB,02/20/2018,1316,Marine Thunderstorm Wind,41.00, ,0,0,0,0,XX,CST-6,MG,123693,Z,741,LOT,0,0,C-MAN Station, , , ,0,N,0,N,HARRISON-DEVER CRIB,02/20/2018,1316,41.92,-87.57,41.92,-87.57,"","A strong cold front produced a narrow line of thunderstorms which moved across southern Lake Michigan during the afternoon of February 20th.",1
742028,BURNS HARBOR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,02/20/2018,1500,Marine Thunderstorm Wind,64.00, ,0,0,0,0,XX,CST-6,MG,123693,Z,745,LOT,0,0,C-MAN Station, , , ,0,N,0,N,MICHIGAN CITY,02/20/2018,1500,41.73,-86.91,41.73,-86.91,"","A strong cold front produced a narrow line of thunderstorms which moved across southern Lake Michigan during the afternoon of February 20th.",2
739880,SHEBOYGAN TO PT WASHINGTON WI (ZONE),SHEBOYGAN,04/13/2018,932,Marine Thunderstorm Wind,41.00, ,0,0,0,0,XX,CST-6,MG,123385,Z,643,MKX,0,0,Coast Guard, , , ,1,E,1,E,SHEBOYGAN,04/13/2018,932,43.7495,-87.7049,43.7495,-87.7049,"","A strong push of warm air triggered severe thunderstorms over central Wisconsin and moved across the near shore waters of Lake Michigan during the late morning.  These thunderstorms produced large hail and strong wind gusts at the Coast Guard Station in Sheboygan.",3
749593,WINTHROP HARBOR TO WILMETTE HARBOR IL (ZONE),WILMETTE HARBOR,05/02/2018,1600,Marine Thunderstorm Wind,35.00, ,0,0,0,0,XX,CST-6,MG,124981,Z,740,LOT,0,0,Buoy, , , ,5,NNE,5,NNE,WILMETTE HARBOR,05/02/2018,1600,42.135,-87.655,42.135,-87.655,"","Severe thunderstorms moved across parts of southern Lake Michigan on May 2nd.",4
749595,WINTHROP HARBOR TO WILMETTE HARBOR IL (ZONE),WILMETTE HARBOR,05/02/2018,1840,Marine Thunderstorm Wind,35.00, ,0,0,0,0,XX,CST-6,MG,124981,Z,740,LOT,0,0,Buoy, , , ,5,NNE,5,NNE,WILMETTE HARBOR,05/02/2018,1840,42.135,-87.655,42.135,-87.655,"","Severe thunderstorms moved across parts of southern Lake Michigan on May 2nd.",5
749596,WINTHROP HARBOR TO WILMETTE HARBOR IL (ZONE),WILMETTE HARBOR,05/02/2018,1930,Marine Thunderstorm Wind,35.00, ,0,0,0,0,XX,CST-6,MG,124981,Z,740,LOT,0,0,Buoy, , , ,5,NNE,5,NNE,WILMETTE HARBOR,05/02/2018,1930,42.135,-87.655,42.135,-87.655,"","Severe thunderstorms moved across parts of southern Lake Michigan on May 2nd.",6
743547,NORTH PT LT TO WIND PT WI (ZONE),CUDAHY,05/02/2018,2008,Marine Thunderstorm Wind,38.00, ,0,0,0,0,XX,CST-6,MG,123900,Z,645,MKX,0,0,ASOS, , , ,2,W,2,W,CUDAHY,05/02/2018,2008,42.9476,-87.8966,42.9476,-87.8966,"Passing thunderstorms caused a 38 knot wind gust at Milwaukee Mitchell Airport.","A line of strong thunderstorms producing large hail and severe wind gusts moved across southeast Wisconsin across the near shore and open waters of Lake Michigan during the late evening.",7
743546,WIND PT LT WI TO WINTHROP HBR IL (ZONE),WIND POINT,05/02/2018,2035,Marine Thunderstorm Wind,36.00, ,0,0,0,0,XX,CST-6,MG,123900,Z,646,MKX,0,0,ASOS, , , ,2,SSE,2,SSE,WIND POINT,05/02/2018,2035,42.7589,-87.8205,42.7589,-87.8205,"Passing thunderstorms produced strong wind gust of 36 knots at the Racine Airport.","A line of strong thunderstorms producing large hail and severe wind gusts moved across southeast Wisconsin across the near shore and open waters of Lake Michigan during the late evening.",8
743551,WIND PT LT WI TO WINTHROP HBR IL (ZONE),RACINE,05/04/2018,610,Marine High Wind,52.00, ,0,0,0,0,XX,CST-6,MG,123901,Z,646,MKX,0,0,Mesonet, , , ,3,E,3,E,RACINE,05/04/2018,610,42.7276,-87.7362,42.7276,-87.7362,"Weather observation station located on the Racine Reef platform measured a peak gust of 52 knots.  Wind gusts were frequently between 34 and 50 knots from 6:30 am to 9 am.","Strong winds ahead of passing cold front and area of thunderstorms affected the nearshore and open waters early in the morning.",9
743553,NORTH PT LT TO WIND PT WI (ZONE),NORTH POINT LTHOUSE,05/04/2018,610,Marine Thunderstorm Wind,40.00, ,0,0,0,0,XX,CST-6,MG,123901,Z,645,MKX,0,0,C-MAN Station, , , ,3,SE,3,SE,NORTH POINT LTHOUSE,05/04/2018,610,43.0449,-87.8803,43.0449,-87.8803,"Milwaukee harbor weather station measured a peak wind gust of 40 knots ahead of an approaching cold front and area of thunderstorms.","Strong winds ahead of passing cold front and area of thunderstorms affected the nearshore and open waters early in the morning.",10
