EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
438733,WILMETTE HARBOR TO NORTHERLY ISLAND IL (ZONE),HARRISON-DEVER CRIB,04/06/2013,2140,Marine Thunderstorm Wind,48.00, ,0,0,0,0,XX,CST-6,MG,72719,Z,741,LOT,0,0,C-MAN Station, , , ,0,N,0,N,HARRISON-DEVER CRIB,04/06/2013,2250,41.92,-87.57,41.92,-87.57,"Winds in excess of 34 knots were measured for just over an hour, peaking at 48 knots.","A line of thunderstorms moved over southern Lake Michigan producing winds in excess of 50 mph.",1
438743,BURNS HARBOR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,04/06/2013,2245,Marine Thunderstorm Wind,49.00, ,0,0,0,0,XX,CST-6,EG,72719,Z,745,LOT,0,0,C-MAN Station, , , ,0,N,0,N,MICHIGAN CITY,04/06/2013,2320,41.73,-86.91,41.73,-86.91,"Winds in excess of 34 knots were measured for just over half an hour, peaking at 49 knots.","A line of thunderstorms moved over southern Lake Michigan producing winds in excess of 50 mph.",2
438735,BURNS HARBOR TO MICHIGAN CITY IN (ZONE),BURNS HARBOR,04/06/2013,2310,Marine Thunderstorm Wind,38.00, ,0,0,0,0,XX,CST-6,MG,72719,Z,745,LOT,0,0,C-MAN Station, , , ,0,N,0,N,BURNS HARBOR,04/06/2013,2310,41.65,-87.15,41.65,-87.15,"","A line of thunderstorms moved over southern Lake Michigan producing winds in excess of 50 mph.",3
447152,MICHIGAN CITY IN TO NEW BUFFALO MI (ZONE),MICHIGAN CITY C-MAN STATION (MCYI3),04/07/2013,15,Marine Thunderstorm Wind,49.00, ,0,0,0,0,XX,EST-5,MG,73895,Z,46,IWX,0,0,C-MAN Station, , , ,0,N,0,N,MICHIGAN CITY C-MAN STATION (MCYI3),04/07/2013,16,41.73,-86.91,41.73,-86.91,"Recorded at the Michigan City marine station.","Sufficient instability existed across the region to allow for the development of a line of showers that moved across southern Lake Michigan. While the convection was not able to grow sufficiently to produce lightning, the line did tap strong winds in the lower levels. This allowed for isolated gusts in excess of 50 mph as the line came ashore.",4
442921,WILMETTE HARBOR TO NORTHERLY ISLAND IL (ZONE),HARRISON-DEVER CRIB,04/10/2013,655,Marine Thunderstorm Wind,47.00, ,0,0,0,0,XX,CST-6,EG,73307,Z,741,LOT,0,0,C-MAN Station, , , ,0,N,0,N,HARRISON-DEVER CRIB,04/10/2013,705,41.92,-87.57,41.92,-87.57,"A line of thunderstorms produced winds in excess of 36 knots for around 10 minutes, with a peak gust to 47 knots.","A line of thunderstorms moved over Lake Michigan producing strong winds.",5
434355,NORTH PT LT TO WIND PT WI (ZONE),CUDAHY,04/11/2013,110,Marine Thunderstorm Wind,42.00, ,0,0,0,0,XX,CST-6,MG,72064,Z,645,MKX,0,0,ASOS, , , ,4,W,4,W,CUDAHY,04/11/2013,110,42.96,-87.92,42.96,-87.92,"Automated observing equipment at KMKE measured a 42 knot wind gust.","A wake low over southern Wisconsin, on the back side of a departing areas of rain showers, generated a brief period of strong gusty winds over the near-shore waters of Lake Michigan.",6
434354,WIND PT LT WI TO WINTHROP HBR IL (ZONE),KENOSHA,04/11/2013,110,Marine Thunderstorm Wind,36.00, ,0,0,0,0,XX,CST-6,MG,72064,Z,646,MKX,0,0,C-MAN Station, , , ,1,ENE,1,ENE,KENOSHA,04/11/2013,110,42.589,-87.809,42.589,-87.809,"Measured 36 knot wind gust at Kenosha lakeshore station.","A wake low over southern Wisconsin, on the back side of a departing areas of rain showers, generated a brief period of strong gusty winds over the near-shore waters of Lake Michigan.",7
434353,SHEBOYGAN TO PT WASHINGTON WI (ZONE),SHEBOYGAN,04/11/2013,156,Marine Thunderstorm Wind,46.00, ,0,0,0,0,XX,CST-6,MG,72064,Z,643,MKX,0,0,C-MAN Station, , , ,1,E,1,E,SHEBOYGAN,04/11/2013,156,43.75,-87.692,43.75,-87.692,"Peak wind gust 46 knots at Sheboygan lakefront observing station.","A wake low over southern Wisconsin, on the back side of a departing areas of rain showers, generated a brief period of strong gusty winds over the near-shore waters of Lake Michigan.",8
434351,WIND PT LT WI TO WINTHROP HBR IL (ZONE),KENOSHA,04/15/2013,30,Marine Thunderstorm Wind,49.00, ,0,0,0,0,XX,CST-6,MG,72063,Z,646,MKX,0,0,C-MAN Station, , , ,1,ENE,1,ENE,KENOSHA,04/15/2013,200,42.589,-87.809,42.589,-87.809,"Frequent wind gusts 34 to 41 knots from 1230 am CST to 200 am CST.  Peak wind gust 49 knots at 110 am CST.","A weak, broken line of thunderstorms associated with an occluding frontal boundary affected the nearshore waters of Lake Michigan shortly after midnight on April 15th.  The thunderstorms allowed strong winds in the low levels of atmosphere to affect the Lake Surface for 1 to 2 hours.",9
434352,NORTH POINT LIGHT TO WIND POINT WI 5NM OFFSHORE TO MID LAKE (ZONE),CUDAHY,04/15/2013,49,Marine Thunderstorm Wind,36.00, ,0,0,0,0,XX,CST-6,MG,72063,Z,673,MKX,0,0,ASOS, , , ,2,WNW,2,WNW,CUDAHY,04/15/2013,49,42.96,-87.88,42.96,-87.88,"Gust to 36 knots at KMKE.","A weak, broken line of thunderstorms associated with an occluding frontal boundary affected the nearshore waters of Lake Michigan shortly after midnight on April 15th.  The thunderstorms allowed strong winds in the low levels of atmosphere to affect the Lake Surface for 1 to 2 hours.",10
478589,WILMETTE HARBOR TO NORTHERLY ISLAND IL (ZONE),HARRISON-DEVER CRIB,04/17/2013,1450,Marine Thunderstorm Wind,36.00, ,0,0,0,0,XX,CST-6,MG,72724,Z,741,LOT,0,0,C-MAN Station, , , ,0,N,0,N,HARRISON-DEVER CRIB,04/17/2013,1455,41.92,-87.57,41.92,-87.57,"","Strong storms resulted in severe winds across southern Lake Michigan.",11
442059,BURNS HARBOR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,04/17/2013,1540,Marine Thunderstorm Wind,61.00, ,0,0,0,0,XX,CST-6,MG,72724,Z,745,LOT,0,0,C-MAN Station, , , ,0,N,0,N,MICHIGAN CITY,04/17/2013,1545,41.73,-86.91,41.73,-86.91,"Winds gusted above 48 knots for 5 minutes, with a peak gust to 61 knots.","Strong storms resulted in severe winds across southern Lake Michigan.",12
