EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,
5495504,MICHIGAN CITY IN TO NEW BUFFALO MI (ZONE),MICHIGAN CITY,3/13/2006,230,Marine Thunderstorm Wind,42, ,0,0,0,0,XX,EST,MG,1205601,M,46,IWX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,3/13/2006,230,41.71667,-86.9,41.71667,-86.9,,,1,
5497633,NORWOOD MI TO 5NM W OF MACKINAC BRIDGE (ZONE),PETOSKEY,3/13/2006,1800,Marine High Wind,43, ,0,0,10000,0,XX,EST,EG,1206227,M,342,APX,0,0,NEWSPAPER, , , , , , , ,PETOSKEY,3/14/2006,600, , , , ,"High winds and pounding waves, associated with a strong low pressure system moving northeast away from the region, destroyed a 50-foot section of the concrete breakwater protecting the Petoskey Marina.  Nearby peak wind speeds were 45 mph in Harbor Springs, 50 mph in Charlevoix, and 52 mph in Pellston.",,2,
5515689,SHEBOYGAN TO PT WASHINGTON WI (ZONE),SHEBOYGAN,4/13/2006,2342,Marine Thunderstorm Wind,56, ,0,0,0,0,XX,CST,EG,1212943,M,643,MKX,0,0,LAW ENFORCEMENT, , , , , , , ,SHEBOYGAN,4/13/2006,2345, , , , ,,"A short line of storms that bowed out and moved east-southeast through northern Sheboygan county continued out over the Lake Michigan waters.  Buidling, tree, and power-line damage was noted all the way to the shoreline in Sheboygan County.  The northward extension of this line also resulted in wind damage to the shoreline in Manitowoc County.",3,
5502951,STURGEON BAY TO TWO RIVERS WI (ZONE),ALGOMA,4/13/2006,2348,Marine Thunderstorm Wind,37, ,0,0,0,0,XX,CST,MG,1209088,M,542,GRB,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,ALGOMA,4/13/2006,2348,44.61667,-87.43333,44.61667,-87.43333,
5515690,WIND PT LT WI TO WINTHROP HBR IL (ZONE),KENOSHA,5/17/2006,1550,Marine Thunderstorm Wind,39, ,0,0,0,0,XX,CST,MG,1212944,M,646,MKX,0,0,AWOS,ASOS,MESONET,ETC, , , ,2,E,2,E,KENOSHA,5/17/2006,1550, , , , ,
5515692,WIND PT LT WI TO WINTHROP HBR IL (ZONE),KENOSHA,5/17/2006,2020,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,CST,MG,1212944,M,646,MKX,0,0,COASTAL OBSERVING STATION, , , ,2,E,2,E,KENOSHA,5/17/2006,2020, , , , ,,Thunderstorm that pulsed to severe limits over land managed to maintain their strength and move out over the nearshore waters of Lake Michigan in the Racine to Kenosha area.,6,
5510654,MICHIGAN CITY IN TO NEW BUFFALO MI (ZONE),MICHIGAN CITY,5/24/2006,2305,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,EST,MG,1210767,M,46,IWX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,MICHIGAN CITY,5/24/2006,2306, , , , ,
5510170,BURN HBR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,5/29/2006,1600,Marine Thunderstorm Wind,38, ,0,0,0,0,XX,CST,MG,1210474,M,745,LOT,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,5/29/2006,1600, , , , ,A gust to 44 mph was measured at Michigan City.,,8,
5509964,NEW BUFFALO TO ST JOSEPH MI (ZONE),WARREN DUNES ST PRK,5/29/2006,1812,Marine Thunderstorm Wind,45, ,0,0,0,0,XX,EST,EG,1210771,M,43,IWX,0,0,PARK/FOREST SERVICE, , , , , , , ,WARREN DUNES ST PRK,5/29/2006,1813, , , , ,Wind gust estimated by park ranger.,,9,
5515605,NORTH PT LT TO WIND PT WI (ZONE),MILWAUKEE HARBOR,6/21/2006,615,Marine Thunderstorm Wind,38, ,0,0,0,0,XX,CST,MG,1212938,M,645,MKX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MILWAUKEE HARBOR,6/21/2006,615, , , , ,,"Numerous thunderstorms developed during the early morning hours of June 21st, producing mainly damaging winds.  A couple thunderstorms moved out over the Wisconsin nearshore waters and open waters between 0600CST and 0800CST and produced wind gusts between 38 and 52 knots.  Synoptically, thunderstorms developed along a warm front that extended from northeast Iowa, into southern Wisconsin and across Lake Michigan into Lower Michigan.  A layer of drier air aloft contributed to the cause for wind damaging thunderstorms.",10,
5515606,PT WASHINGTON TO NORTH PT LT WI (ZONE),MEQUON,6/21/2006,625,Marine Thunderstorm Wind,52, ,0,0,0,0,XX,CST,EG,1212938,M,644,MKX,0,0,LAW ENFORCEMENT, , , , , , , ,MEQUON,6/21/2006,632, , , , ,Power lines down on the lakeshroe in Bayside at 0625 CST and Mequon at 0632 CST.,"Numerous thunderstorms developed during the early morning hours of June 21st, producing mainly damaging winds.  A couple thunderstorms moved out over the Wisconsin nearshore waters and open waters between 0600CST and 0800CST and produced wind gusts between 38 and 52 knots.  Synoptically, thunderstorms developed along a warm front that extended from northeast Iowa, into southern Wisconsin and across Lake Michigan into Lower Michigan.  A layer of drier air aloft contributed to the cause for wind damaging thunderstorms.",11,
5515607,SHEBOYGAN TO PT WASHINGTON WI (ZONE),SHEBOYGAN,6/21/2006,656,Marine Thunderstorm Wind,42, ,0,0,0,0,XX,CST,MG,1212938,M,643,MKX,0,0,COASTAL OBSERVING STATION, , , , , , , ,SHEBOYGAN,6/21/2006,656, , , , ,,"Numerous thunderstorms developed during the early morning hours of June 21st, producing mainly damaging winds.  A couple thunderstorms moved out over the Wisconsin nearshore waters and open waters between 0600CST and 0800CST and produced wind gusts between 38 and 52 knots.  Synoptically, thunderstorms developed along a warm front that extended from northeast Iowa, into southern Wisconsin and across Lake Michigan into Lower Michigan.  A layer of drier air aloft contributed to the cause for wind damaging thunderstorms.",12,
5515608,LM SHEBOYGAN WI TO WINTHROP HARBOR IL EWD BYD 5NM TO MID LINE OF LAKE (ZONE),WIND POINT,6/21/2006,730,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,CST,MG,1212938,M,665,MKX,0,0,BUOY, , , ,38,ESE,38,ESE,WIND POINT,6/21/2006,730, , , , ,,"Numerous thunderstorms developed during the early morning hours of June 21st, producing mainly damaging winds.  A couple thunderstorms moved out over the Wisconsin nearshore waters and open waters between 0600CST and 0800CST and produced wind gusts between 38 and 52 knots.  Synoptically, thunderstorms developed along a warm front that extended from northeast Iowa, into southern Wisconsin and across Lake Michigan into Lower Michigan.  A layer of drier air aloft contributed to the cause for wind damaging thunderstorms.",13,
5511822,BURN HBR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,6/21/2006,1635,Marine Thunderstorm Wind,69, ,0,0,0,0,XX,CST,MG,1212600,M,745,LOT,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,6/21/2006,1635, , , , ,A wind gust to 79 mph was measured at Michigan City.,,14,
5513582,LM MICHIGAN CITY TO ST JOSEPH TO 5NM OFFSHORE TO MID LINE OF LAKE (ZONE),MICHIGAN CITY,6/21/2006,1738,Marine Thunderstorm Wind,69, ,0,0,0,0,XX,EST,MG,1213137,M,61,IWX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,6/21/2006,1739, , , , ,Measured at the Michigan City Lighthouse.,,15,
5513659,MICHIGAN CITY IN TO NEW BUFFALO MI (ZONE),MICHIGAN CITY,6/21/2006,1840,Marine Thunderstorm Wind,69, ,0,0,0,0,XX,EST,MG,1213142,M,46,IWX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,6/21/2006,1841, , , , ,,,16,
5512109,BURN HBR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,6/22/2006,915,Marine Thunderstorm Wind,37, ,0,0,0,0,XX,CST,MG,1212612,M,745,LOT,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,6/22/2006,915, , , , ,A wind gust to 43 mph was measured at Michigan City.,,17,
5513581,LM MICHIGAN CITY TO ST JOSEPH TO 5NM OFFSHORE TO MID LINE OF LAKE (ZONE),MICHIGAN CITY,6/22/2006,958,Marine Thunderstorm Wind,37, ,0,0,0,0,XX,EST,MG,1213136,M,61,IWX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,6/22/2006,958, , , , ,Measured at the Michigan City Lighthouse.,,18,
5515679,WIND PT LT WI TO WINTHROP HBR IL (ZONE),KENOSHA,6/28/2006,1825,Marine Thunderstorm Wind,44, ,0,0,0,0,XX,CST,MG,1212941,M,646,MKX,0,0,COASTAL OBSERVING STATION, , , , , , , ,KENOSHA,6/28/2006,1825, , , , ,,A thunderstorm pushed onto Lake Michigan around Kenosha and produced a 44 knot measured gust at the Kenosha GLERL site.,19,
5512089,BURN HBR TO MICHIGAN CITY IN (ZONE),MICHIGAN CITY,6/28/2006,2150,Marine Thunderstorm Wind,38, ,0,0,0,0,XX,CST,MG,1212602,M,745,LOT,0,0,COASTAL OBSERVING STATION, , , , , , , ,MICHIGAN CITY,6/28/2006,2150, , , , ,A wind gust to 44 mph was measured at Michigan City.,,20,
5524779,TWO RIVERS TO SHEBOYGAN WI (ZONE),MANITOWOC,7/1/2006,1940,Marine Thunderstorm Wind,40, ,0,0,0,0,XX,CST,EG,1216286,M,543,GRB,0,0,LAW ENFORCEMENT, , , , , , , ,MANITOWOC,7/1/2006,1940, , , , ,,Thunderstorms that accompanied a cold front that passed through the area produced large hail and wind gusts to 40 knots on the nearshore waters of Lake Michigan.,21,
5523657,LM WHITEHALL TO MANISTEE MI 5NM OFFHORE TO MID LINE OF LAKE (ZONE),MANISTEE HARBOR,7/3/2006,2235,Marine Thunderstorm Wind,34, ,0,0,0,0,XX,EST,EG,1216297,M,869,GRR,0,0,COASTAL OBSERVING STATION, , , , , , , ,MANISTEE HARBOR,7/3/2006,2250, , , , ,,,22,
5523658,PENTWATER TO MANISTEE MI (ZONE),MANISTEE HARBOR,7/3/2006,2245,Marine Thunderstorm Wind,34, ,0,0,0,0,XX,EST,EG,1216297,M,849,GRR,0,0,COASTAL OBSERVING STATION, , , , , , , ,MANISTEE HARBOR,7/3/2006,2300, , , , ,,,23,
5523659,WHITEHALL TO PENTWATER MI (ZONE),PENTWATER HARBOR,7/3/2006,2250,Marine Thunderstorm Wind,34, ,0,0,0,0,XX,EST,EG,1216297,M,848,GRR,0,0,COASTAL OBSERVING STATION, , , , , , , ,PENTWATER HARBOR,7/3/2006,2315, , , , ,,,24,
5524781,BAY OF GREEN BAY CEDAR R TO ROCK IS PSG TO MARINETTE TO FISH CR WI (ZONE),MENOMINEE MI,7/9/2006,1315,Marine Thunderstorm Wind,43, ,0,0,0,0,XX,CST,MG,1216287,M,521,GRB,0,0,COASTAL OBSERVING STATION, , , ,1,NE,1,NE,MENOMINEE MI,7/9/2006,1315, , , , ,,Thunderstorms developed over northern Wisconsin during the afternoon and moved across the Bay of Green Bay producing strong winds.  A waterspout was also spotted east of Marinette.,25,
5524783,BAY OF GREEN BAY S OF LN MARINETTE TO FISH CREEK WI (ZONE),EGG HARBOR,7/9/2006,1355,Marine Thunderstorm Wind,38, ,0,0,0,0,XX,CST,MG,1216287,M,522,GRB,0,0,AWOS,ASOS,MESONET,ETC, , , ,16,SW,16,SW,EGG HARBOR,7/9/2006,1355, , , , ,
5524784,BAY OF GREEN BAY S OF LN MARINETTE TO FISH CREEK WI (ZONE),DYCKESVILLE,7/9/2006,1418,Marine Thunderstorm Wind,43, ,0,0,0,0,XX,CST,EG,1216287,M,522,GRB,0,0,TRAINED SPOTTER, , , , , , , ,DYCKESVILLE,7/9/2006,1418, , , , ,,Thunderstorms developed over northern Wisconsin during the afternoon and moved across the Bay of Green Bay producing strong winds.  A waterspout was also spotted east of Marinette.,27,
5523660,LM WHITEHALL TO MANISTEE MI 5NM OFFHORE TO MID LINE OF LAKE (ZONE),BIG SABLE POINT,7/9/2006,1630,Marine Thunderstorm Wind,34, ,0,0,0,0,XX,EST,EG,1216298,M,869,GRR,0,0,COASTAL OBSERVING STATION, , , , , , , ,BIG SABLE POINT,7/9/2006,1720, , , , ,,,28,
5523661,PENTWATER TO MANISTEE MI (ZONE),BIG SABLE POINT,7/9/2006,1700,Marine Thunderstorm Wind,34, ,0,0,0,0,XX,EST,EG,1216298,M,849,GRR,0,0,COASTAL OBSERVING STATION, , , , , , , ,BIG SABLE POINT,7/9/2006,1730, , , , ,,,29,
